player_id,web_name,club_short,position,expected_role,draft_availability,cost,ownership_pct,total_season_xp,total_season_xmins,avg_xmins_season,xp_per_90_season,total_gw1_6_xp,total_gw1_6_xmins,avg_xmins_gw1_6,xp_per_90_gw1_6,n_gameweeks
247,Hackney,EVE,MID,Regular Starter,eligible,5.5,0.3,116.14,2356.0,62.0,4.4365,18.88,372.0,62.0,4.5688,38
329,Rodon,LEE,DEF,Nailed Starter,eligible,4.5,1.9,116.13,2945.0,77.5,3.5489,17.98,465.0,77.5,3.4797,38
47,Kamara,AVL,MID,Nailed Starter,watch,5.0,0.1,115.89,2830.2,74.5,3.6851,14.14,350.2,58.4,3.6335,38
480,Gibbs-White,NFO,MID,Regular Starter,eligible,8.0,12.0,115.88,2356.0,62.0,4.4265,18.44,372.0,62.0,4.4622,38
304,O'Shea,IPS,DEF,Regular Starter,eligible,4.0,1.2,115.67,2356.0,62.0,4.4186,18.66,372.0,62.0,4.514,38
404,Reijnders,MCI,MID,Regular Starter,eligible,6.0,0.4,115.49,2356.0,62.0,4.4119,18.17,372.0,62.0,4.3959,38
315,Fatawu,IPS,MID,Regular Starter,eligible,5.5,0.3,115.22,2356.0,62.0,4.4015,18.4,372.0,62.0,4.4524,38
261,Iwobi,FUL,MID,Nailed Starter,eligible,5.5,0.9,115.06,2945.0,77.5,3.5163,17.59,465.0,77.5,3.4046,38
186,Mason-Clark,COV,MID,Regular Starter,eligible,5.5,0.3,114.34,2356.0,62.0,4.368,18.19,372.0,62.0,4.3998,38
357,Frimpong,LIV,DEF,Regular Starter,eligible,5.5,3.0,114.17,2356.0,62.0,4.3611,18.61,372.0,62.0,4.5028,38
306,Greaves,IPS,DEF,Regular Starter,eligible,4.0,0.5,113.72,2356.0,62.0,4.3442,18.36,372.0,62.0,4.4411,38
358,Kerkez,LIV,DEF,Nailed Starter,eligible,5.5,6.0,112.93,2945.0,77.5,3.4511,18.52,465.0,77.5,3.5843,38
502,Robertson,TOT,DEF,Regular Starter,eligible,4.5,1.8,112.64,2356.0,62.0,4.303,17.89,372.0,62.0,4.3279,38
469,N.Williams,NFO,DEF,Regular Starter,eligible,5.0,13.3,112.4,2356.0,62.0,4.2935,17.95,372.0,62.0,4.3438,38
182,Amenda,COV,DEF,Regular Starter,eligible,4.0,0.5,112.08,2356.0,62.0,4.2816,17.92,372.0,62.0,4.3344,38
336,Okafor,LEE,MID,Regular Starter,eligible,6.0,0.8,112.06,2356.0,62.0,4.2807,17.51,372.0,62.0,4.2366,38
123,Hinshelwood,BHA,MID,Regular Starter,eligible,6.0,0.3,111.74,2356.0,62.0,4.2683,17.75,372.0,62.0,4.2938,38
239,Garner,EVE,MID,Regular Starter,exclude_gw1,6.0,1.0,111.39,2294.0,60.4,4.3703,15.42,310.0,51.7,4.4768,38
496,Kinsky,TOT,GKP,Regular Starter,eligible,4.5,17.9,111.35,2356.0,62.0,4.2537,17.68,372.0,62.0,4.2771,38
539,O'Nien,SUN,DEF,Regular Starter,eligible,4.0,2.3,111.13,2356.0,62.0,4.2453,17.94,372.0,62.0,4.3403,38
188,Torp,COV,MID,Regular Starter,eligible,5.5,0.2,110.93,2356.0,62.0,4.2377,17.62,372.0,62.0,4.2635,38
430,Mount,MUN,MID,Regular Starter,eligible,5.5,0.1,110.85,2356.0,62.0,4.2345,17.83,372.0,62.0,4.3141,38
113,F.Kadıoğlu,BHA,DEF,Regular Starter,eligible,4.5,3.0,110.67,2356.0,62.0,4.2275,17.71,372.0,62.0,4.2836,38
527,Richarlison,TOT,FWD,Regular Starter,eligible,6.0,1.8,110.65,2356.0,62.0,4.227,17.62,372.0,62.0,4.2623,38
36,Maatsen,AVL,DEF,Regular Starter,eligible,4.5,0.6,110.32,2356.0,62.0,4.2144,17.4,372.0,62.0,4.2108,38
523,Moore,TOT,MID,Regular Starter,eligible,5.0,0.1,110.03,2356.0,62.0,4.2033,17.48,372.0,62.0,4.2296,38
552,Brobbey,SUN,FWD,Nailed Starter,eligible,6.0,21.7,109.86,2945.0,77.5,3.3575,17.52,465.0,77.5,3.3916,38
316,Emersonn,IPS,FWD,Regular Starter,eligible,5.5,0.3,109.86,2356.0,62.0,4.1968,17.66,372.0,62.0,4.2715,38
534,Hume,SUN,DEF,Regular Starter,eligible,4.5,1.6,109.58,2356.0,62.0,4.1859,17.77,372.0,62.0,4.2992,38
450,Livramento,NEW,DEF,Regular Starter,watch,5.0,0.1,109.53,2266.0,59.6,4.3504,14.26,282.0,47.0,4.5519,38
129,Ayari,BHA,MID,Regular Starter,eligible,5.5,0.5,109.46,2356.0,62.0,4.1815,17.33,372.0,62.0,4.1925,38
98,Janelt,BRE,MID,Regular Starter,eligible,5.0,0.1,109.43,2356.0,62.0,4.1802,17.1,372.0,62.0,4.136,38
458,Joelinton,NEW,MID,Regular Starter,eligible,5.5,0.0,109.27,2356.0,62.0,4.1741,17.65,372.0,62.0,4.271,38
279,Ajayi,HUL,DEF,Regular Starter,eligible,4.0,0.6,109.22,2356.0,62.0,4.1721,16.99,372.0,62.0,4.1108,38
