pair_name,gkp1_name,gkp1_club,gkp1_cost,gkp2_name,gkp2_club,gkp2_cost,combined_cost,combined_cost_band,total_mod_fdr,total_base_fdr,avg_mod_fdr,avg_base_fdr,n_gw_mod_le_2_25,pct_gw_mod_le_2_25,max_mod_fdr
Raya (ARS) + Rushworth (COV),Raya,ARS,6.0,Rushworth,COV,4.5,10.5,10.5,47.25,49.0,2.487,2.579,9,47.4,3.75
A.Becker (LIV) + Roefs (SUN),A.Becker,LIV,5.5,Roefs,SUN,5.0,10.5,10.5,47.75,48.0,2.513,2.526,11,57.9,4.25
Pickford (EVE) + Roefs (SUN),Pickford,EVE,5.5,Roefs,SUN,5.0,10.5,10.5,47.75,49.0,2.513,2.579,10,52.6,4.25
Suzuki (AVL) + Pickford (EVE),Suzuki,AVL,5.0,Pickford,EVE,5.5,10.5,10.5,48.25,49.0,2.539,2.579,10,52.6,3.75
Martinez (CHE) + A.Becker (LIV),Martinez,CHE,5.0,A.Becker,LIV,5.5,10.5,10.5,48.25,49.0,2.539,2.579,10,52.6,3.75
Kelleher (BRE) + A.Becker (LIV),Kelleher,BRE,5.0,A.Becker,LIV,5.5,10.5,10.5,48.25,50.0,2.539,2.632,9,47.4,3.75
Henderson (CRY) + A.Becker (LIV),Henderson,CRY,5.0,A.Becker,LIV,5.5,10.5,10.5,48.75,49.0,2.566,2.579,9,47.4,4.25
Kelleher (BRE) + Donnarumma (MCI),Kelleher,BRE,5.0,Donnarumma,MCI,5.5,10.5,10.5,49.25,49.0,2.592,2.579,10,52.6,4.25
Henderson (CRY) + Pickford (EVE),Henderson,CRY,5.0,Pickford,EVE,5.5,10.5,10.5,49.25,49.0,2.592,2.579,9,47.4,4.25
Pickford (EVE) + Trafford (LEE),Pickford,EVE,5.5,Trafford,LEE,5.0,10.5,10.5,49.25,50.0,2.592,2.632,9,47.4,4.25
Kelleher (BRE) + Pickford (EVE),Kelleher,BRE,5.0,Pickford,EVE,5.5,10.5,10.5,49.25,51.0,2.592,2.684,9,47.4,3.75
Pickford (EVE) + Lammens (MUN),Pickford,EVE,5.5,Lammens,MUN,5.0,10.5,10.5,49.75,49.0,2.618,2.579,8,42.1,3.25
Raya (ARS) + Verbruggen (BHA),Raya,ARS,6.0,Verbruggen,BHA,4.5,10.5,10.5,49.75,50.0,2.618,2.632,9,47.4,4.25
Pickford (EVE) + Sels (NFO),Pickford,EVE,5.5,Sels,NFO,5.0,10.5,10.5,49.75,50.0,2.618,2.632,9,47.4,3.75
