horizon,strategy,type,pairing,gkp1,club1,price1,gkp2,club2,price2,total_price,num_gws,tot_rot_xp,rot_xp_per_gw,oc_score,dcs,s_risk,rot_avg_fdr,no_diff_pct,all_easy_pct,fdr_corr,foi,expected_cs
gw1_19,Active 2-GKP Rotation,Active 2-GKP,Verbruggen (BHA) + Sánchez (CHE),Verbruggen,BHA,4.5,Sánchez,CHE,5.0,9.5,19,113.88,5.99,5.699,76.82,76.36,2.58,94.7,47.4,0.0,0.5156,6.19
full_season,Active 2-GKP Rotation,Active 2-GKP,Verbruggen (BHA) + Sánchez (CHE),Verbruggen,BHA,4.5,Sánchez,CHE,5.0,9.5,38,227.62,5.99,5.696,77.39,77.96,2.58,97.4,44.7,-0.0379,0.5198,12.21
gw1_3,Active 2-GKP Rotation,Active 2-GKP,Verbruggen (BHA) + Henderson (CRY),Verbruggen,BHA,4.5,Henderson,CRY,5.0,9.5,3,23.57,7.86,7.561,71.74,29.34,3.0,33.3,33.3,0.866,0.5376,1.2
gw4_19,Active 2-GKP Rotation,Active 2-GKP,Verbruggen (BHA) + Henderson (CRY),Verbruggen,BHA,4.5,Henderson,CRY,5.0,9.5,16,95.87,5.99,5.698,76.24,74.99,2.69,100.0,31.2,0.196,0.5167,4.97
gw1_19,Active 2-GKP Rotation,Active 2-GKP,Verbruggen (BHA) + Henderson (CRY),Verbruggen,BHA,4.5,Henderson,CRY,5.0,9.5,19,113.77,5.99,5.693,74.47,70.75,2.74,94.7,31.6,0.2571,0.52,5.91
full_season,Active 2-GKP Rotation,Active 2-GKP,Verbruggen (BHA) + Henderson (CRY),Verbruggen,BHA,4.5,Henderson,CRY,5.0,9.5,38,228.71,6.02,5.724,76.08,73.46,2.66,94.7,39.5,0.1406,0.5136,12.33
gw1_3,Active 2-GKP Rotation,Active 2-GKP,Verbruggen (BHA) + Pickford (EVE),Verbruggen,BHA,4.5,Pickford,EVE,5.5,10.0,3,23.57,7.86,7.414,79.26,48.16,2.75,33.3,33.3,-0.866,0.5192,1.28
gw4_19,Active 2-GKP Rotation,Active 2-GKP,Verbruggen (BHA) + Pickford (EVE),Verbruggen,BHA,4.5,Pickford,EVE,5.5,10.0,16,97.24,6.08,5.636,76.29,77.75,2.5,93.8,56.2,-0.0053,0.498,5.59
gw1_19,Active 2-GKP Rotation,Active 2-GKP,Verbruggen (BHA) + Pickford (EVE),Verbruggen,BHA,4.5,Pickford,EVE,5.5,10.0,19,115.14,6.06,5.618,76.17,78.21,2.53,94.7,52.6,-0.0827,0.5014,6.6
full_season,Active 2-GKP Rotation,Active 2-GKP,Verbruggen (BHA) + Pickford (EVE),Verbruggen,BHA,4.5,Pickford,EVE,5.5,10.0,38,230.41,6.06,5.622,76.08,77.84,2.55,94.7,50.0,-0.1156,0.4993,13.16
gw1_3,Active 2-GKP Rotation,Active 2-GKP,Verbruggen (BHA) + Leno (FUL),Verbruggen,BHA,4.5,Leno,FUL,4.5,9.0,3,23.22,7.74,7.592,74.33,35.83,3.0,33.3,33.3,0.0,0.5285,1.11
gw4_19,Active 2-GKP Rotation,Active 2-GKP,Verbruggen (BHA) + Leno (FUL),Verbruggen,BHA,4.5,Leno,FUL,4.5,9.0,16,96.17,6.01,5.863,78.61,73.79,2.56,87.5,56.2,-0.0893,0.5018,5.23
gw1_19,Active 2-GKP Rotation,Active 2-GKP,Verbruggen (BHA) + Leno (FUL),Verbruggen,BHA,4.5,Leno,FUL,4.5,9.0,19,114.07,6.0,5.856,78.7,74.35,2.58,89.5,52.6,-0.0827,0.506,6.17
full_season,Active 2-GKP Rotation,Active 2-GKP,Verbruggen (BHA) + Leno (FUL),Verbruggen,BHA,4.5,Leno,FUL,4.5,9.0,38,227.94,6.0,5.851,77.9,72.57,2.63,89.5,47.4,-0.0088,0.5072,12.2
gw1_3,Active 2-GKP Rotation,Active 2-GKP,Verbruggen (BHA) + Scherpen (IPS),Verbruggen,BHA,4.5,Scherpen,IPS,4.5,9.0,3,23.79,7.93,7.782,76.67,41.67,2.75,33.3,33.3,0.0,0.5198,1.34
gw4_19,Active 2-GKP Rotation,Active 2-GKP,Verbruggen (BHA) + Scherpen (IPS),Verbruggen,BHA,4.5,Scherpen,IPS,4.5,9.0,16,95.91,5.99,5.847,79.32,76.29,2.56,93.8,50.0,-0.0053,0.5094,5.27
gw1_19,Active 2-GKP Rotation,Active 2-GKP,Verbruggen (BHA) + Scherpen (IPS),Verbruggen,BHA,4.5,Scherpen,IPS,4.5,9.0,19,113.82,5.99,5.843,78.26,73.78,2.58,89.5,52.6,-0.0074,0.511,6.31
full_season,Active 2-GKP Rotation,Active 2-GKP,Verbruggen (BHA) + Scherpen (IPS),Verbruggen,BHA,4.5,Scherpen,IPS,4.5,9.0,38,227.23,5.98,5.833,77.37,72.02,2.63,89.5,47.4,0.0644,0.5163,12.36
